product_name;parameter_name;value
Kingston FURY Beast 16GB DDR5 5600MHz KF556C40BB-16;CAS Latency;N/A
G.SKILL Trident Z5 Neo RGB 32GB (2x16GB) DDR5 6000MHz F5-6000J3038F16GX2-TZ5NR;Memory Capacity;32
G.SKILL Trident Z5 Neo RGB 32GB (2x16GB) DDR5 6000MHz F5-6000J3038F16GX2-TZ5NR;Memory Type;DDR5
G.SKILL Trident Z5 Neo RGB 32GB (2x16GB) DDR5 6000MHz F5-6000J3038F16GX2-TZ5NR;Bus Speed;N/A
G.SKILL Trident Z5 Neo RGB 32GB (2x16GB) DDR5 6000MHz F5-6000J3038F16GX2-TZ5NR;CAS Latency;N/A
Kingston FURY Beast 16GB DDR4 3200MHz KF432C16BB1/16;Memory Capacity;16
Kingston FURY Beast 16GB DDR4 3200MHz KF432C16BB1/16;Memory Type;DDR4
Kingston FURY Beast 16GB DDR4 3200MHz KF432C16BB1/16;Bus Speed;N/A
Kingston FURY Beast 16GB DDR4 3200MHz KF432C16BB1/16;CAS Latency;N/A
Corsair VENGEANCE 24GB DDR5 5200MHz CMSX24GX5M1A5200C44;Memory Capacity;N/A
Corsair VENGEANCE 24GB DDR5 5200MHz CMSX24GX5M1A5200C44;Memory Type;N/A
Corsair VENGEANCE 24GB DDR5 5200MHz CMSX24GX5M1A5200C44;Bus Speed;N/A
Corsair VENGEANCE 24GB DDR5 5200MHz CMSX24GX5M1A5200C44;CAS Latency;N/A
Kingston FURY Beast 32GB (2x16GB) DDR5 5600MHz KF556C40BBK2-32;Memory Capacity;32
Kingston FURY Beast 32GB (2x16GB) DDR5 5600MHz KF556C40BBK2-32;Memory Type;DDR5
Kingston FURY Beast 32GB (2x16GB) DDR5 5600MHz KF556C40BBK2-32;Bus Speed;N/A
Kingston FURY Beast 32GB (2x16GB) DDR5 5600MHz KF556C40BBK2-32;CAS Latency;N/A
MSI MPG B550 GAMING PLUS;Socket;Socket AM4
MSI MPG B550 GAMING PLUS;Chipset;AMD B550
MSI MPG B550 GAMING PLUS;Memory Type;DDR4
MSI MPG B550 GAMING PLUS;Form Factor;N/A
MSI MPG B550 GAMING PLUS;Memory Slots;N/A
MSI MPG B550 GAMING PLUS;M.2 Slots;N/A
MSI MPG B550 GAMING PLUS;Max Memory;N/A
MSI MPG B550 GAMING PLUS;PCIe Slots;N/A
MSI MPG B550 GAMING PLUS;Wireless Networking;N/A
MSI MPG B550 GAMING PLUS;RAID Support;N/A
ASUS TUF Gaming A520M-PLUS II;Socket;Socket AM4
ASUS TUF Gaming A520M-PLUS II;Chipset;AMD A520
ASUS TUF Gaming A520M-PLUS II;Memory Type;DDR4
ASUS TUF Gaming A520M-PLUS II;Form Factor;N/A
ASUS TUF Gaming A520M-PLUS II;Memory Slots;N/A
ASUS TUF Gaming A520M-PLUS II;M.2 Slots;N/A
ASUS TUF Gaming A520M-PLUS II;Max Memory;N/A
ASUS TUF Gaming A520M-PLUS II;PCIe Slots;N/A
ASUS TUF Gaming A520M-PLUS II;Wireless Networking;N/A
ASUS TUF Gaming A520M-PLUS II;RAID Support;N/A
MSI PRO B760-P DDR4 II;Socket;Socket 1700
MSI PRO B760-P DDR4 II;Chipset;Intel B760
MSI PRO B760-P DDR4 II;Memory Type;DDR4
MSI PRO B760-P DDR4 II;Socket;4
MSI PRO B760-P DDR4 II;Connectivity Technology;4
MSI PRO B760-P DDR4 II;PCIe Slots;No
MSI PRO B760-P DDR4 II;PCIe Slots;No
MSI PRO B760-P DDR4 II;PCIe Slots;1
MSI PRO B760-P DDR4 II;PCIe Slots;No
MSI PRO B760-P DDR4 II;Connectivity Technology;No
MSI PRO B760-P DDR4 II;Connectivity Technology;4
MSI PRO B760-P DDR4 II;M.2 Slots;2
MSI PRO B760-P DDR4 II;Wireless Networking;No
MSI PRO B760-P DDR4 II;RAID Support;No
MSI PRO B760-P DDR4 II;Form Factor;N/A
MSI PRO B760-P DDR4 II;Memory Slots;N/A
MSI PRO B760-P DDR4 II;Max Memory;N/A
ASUS ROG STRIX B550-F GAMING;Socket;Socket AM4
ASUS ROG STRIX B550-F GAMING;Chipset;AMD B550
ASUS ROG STRIX B550-F GAMING;Memory Type;DDR4
ASUS ROG STRIX B550-F GAMING;Form Factor;N/A
ASUS ROG STRIX B550-F GAMING;Memory Slots;N/A
ASUS ROG STRIX B550-F GAMING;M.2 Slots;N/A
